Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
TEMP,11,Baseline,Ridge,12.242582252602404,36.21465791280119,0.6619440039422577,0.6609271024701243,0.6078785649875457,0.7210548832215743,-11.43695790742519,1.0895551127987346e-09
TEMP,11,Baseline,RF,12.175393702563431,36.21465791280119,0.6637992900035192,0.6627879693912105,,,,
TEMP,11,Baseline,HGB,12.382829198646057,36.21465791280119,0.6580713470092185,0.6570427962524038,,,,
TEMP,11,DeptClim,Ridge,12.242582252602404,9.846654730353933,-0.24332401083005673,0.6609271024701243,-0.5318658431018676,-0.007454138053281225,1.6276780442467362,0.12097034967907927
TEMP,11,DeptClim,RF,12.175393702563431,9.846654730353933,-0.2365005208348352,0.6627879693912105,,,,
TEMP,11,DeptClim,HGB,12.382829198646057,9.846654730353933,-0.2575671167258409,0.6570427962524038,,,,
TEMP,11,Persist,Ridge,12.242582252602404,2.8384675559218633,-3.3130957149962272,0.6609271024701243,-6.1372142786368755,-2.0862998509770443,5.764226764236122,1.8330471328376063e-05
TEMP,11,Persist,RF,12.175393702563431,2.8384675559218633,-3.2894250022911278,0.6627879693912105,,,,
TEMP,11,Persist,HGB,12.382829198646057,2.8384675559218633,-3.3625051034357956,0.6570427962524038,,,,
TEMP,12,Baseline,Ridge,14.655926892545306,36.64469528128497,0.600053246996699,0.5981695589983204,0.5380989496855936,0.6718801146179941,-11.384970825992669,1.1715268755096986e-09
TEMP,12,Baseline,RF,15.281988529872962,36.64469528128497,0.5829686012513327,0.5810044471861451,,,,
TEMP,12,Baseline,HGB,15.620146405322885,36.64469528128497,0.5737405841303218,0.5717329675167597,,,,
TEMP,12,DeptClim,Ridge,14.655926892545306,11.866739392326426,-0.23504244999451962,0.5981695589983204,-0.4810684309763071,-0.03848172095554476,1.8227678978466846,0.0849934619929269
TEMP,12,DeptClim,RF,15.281988529872962,11.866739392326426,-0.2878001298111419,0.5810044471861451,,,,
TEMP,12,DeptClim,HGB,15.620146405322885,11.866739392326426,-0.31629640534817693,0.5717329675167597,,,,
TEMP,12,Persist,Ridge,14.655926892545306,3.8869609537733543,-2.7705361764228007,0.5981695589983204,-5.883115277706528,-1.739877045649243,6.626533095708117,3.205479885082241e-06
TEMP,12,Persist,RF,15.281988529872962,3.8869609537733543,-2.9316033043855585,0.5810044471861451,,,,
TEMP,12,Persist,HGB,15.620146405322885,3.8869609537733543,-3.018601316321245,0.5717329675167597,,,,
HUMI,2,Baseline,Ridge,50.502479045776596,88.88002616855808,0.43179045705949404,0.4282658100860357,0.2588175244295776,0.551690692274044,-2.7769478781712564,0.012435504029573163
HUMI,2,Baseline,RF,45.88852444433884,88.88002616855808,0.4837026222594405,0.48049999039155533,,,,
HUMI,2,Baseline,HGB,55.91557751433698,88.88002616855808,0.37088702687491437,0.3669845912959314,,,,
HUMI,2,DeptClim,Ridge,50.502479045776596,79.27062009792515,0.3629105085416323,0.4282658100860357,0.14522586031885287,0.5086900950884733,-2.1167981607289494,0.04846644524503696
HUMI,2,DeptClim,RF,45.88852444433884,79.27062009792515,0.42111561146296694,0.48049999039155533,,,,
